count,guc,exposure,year,gsi_band,agency_indicator,usage,new_renewal,gender,country_origin,clean_make,cover,driver_age_band,leasing,vehicle_type,veh_age,excess_band,source_of_business,claim_type,gross_claim,claim_count,ultimate_inflated_claims,ncd,ncd_discount,agg_indicator,vehicle_color,business_activity,offset_exposure,offset_total
0,0,0.106849315068493,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,OTHERS,RIYADH,25_to_35,LEASING,Sedan,1_to_2,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.236336,-2.23633570745285
0,0,0.0876712328767123,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,RIYADH,45_to_55,LEASING,Sedan,1_to_2,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.434161,-2.43416145078276
0,0,0.104109589041096,2022,100000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,RIYADH,35_to_45,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.262311,-2.26231119385611
0,0,0.10958904109589,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,OTHERS,JEDDAH,35_to_45,LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.211018,-2.21101789946856
0,0,0.167123287671233,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,JEDDAH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.789024,-1.78902348940918
0,0,0.172602739726027,2022,100000,NON_AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MAZDA,RIYADH,55+,NON-LEASING,Sedan,1_to_2,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.756763,-1.75676262719096
0,0,0.191780821917808,2022,200000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,TOYOTA,SOUTH,45_to_55,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.651402,-1.65140211153313
0,0,0.194520547945205,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MAZDA,JEDDAH,35_to_45,NON-LEASING,Jeeps_4x4,1_to_2,2500_to_5000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.637218,-1.63721747654118
0,0,0.194520547945205,2022,50000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,SOUTH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Aggregator,,0,0,0,NCD_0,0,AGGREGATOR,OTHERS,,-1.637218,-1.63721747654118
0,0,0.191780821917808,2022,100000,NON_AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,RIYADH,45_to_55,NON-LEASING,Jeeps_4x4,0_to_1,1000_to_1500,Aggregator,,0,0,0,NCD_0,0,AGGREGATOR,OTHERS,,-1.651402,-1.65140211153313
1.17234018047137,4206.08917497202,0.191780821917808,2022,200000,AGENCY,PRIVATE CAR,NEW,FEMALE,JAPAN,LEXUS,JEDDAH,35_to_45,NON-LEASING,Sedan,0_to_1,2500_to_5000,Direct,OD,4019,1,4558.17612112307,NCD_0,0,NON-AGGREGATOR,OTHERS,OTHERS,-1.651402,-1.65140211153313
0,0,0.180821917808219,2022,200000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,RIYADH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.710243,-1.71024261155607
0,0,0.189041095890411,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,EASTERN,35_to_45,LEASING,Sedan,0_to_1,5000+,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.665791,-1.66579084898523
0,0,0.172602739726027,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,NISSAN,RIYADH,35_to_45,NON-LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.756763,-1.75676262719096
0,0,0.16986301369863,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,RIYADH,55+,NON-LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.772763,-1.7727629685374
0,0,0.183561643835616,2022,200000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,JEDDAH,55+,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.695205,-1.69520473419153
0,0,0.191780821917808,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,EUROPE,OTHERS,RIYADH,55+,NON-LEASING,Sedan,3_to_4,1500_to_2000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,OTHERS,-1.651402,-1.65140211153313
0,0,0.191780821917808,2022,200000,AGENCY,PRIVATE CAR,NEW,FEMALE,JAPAN,OTHERS,RIYADH,35_to_45,NON-LEASING,Jeeps_4x4,2_to_3,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.651402,-1.65140211153313
0,0,0.158904109589041,2022,50000,NON_AGENCY,PRIVATE CAR,NEW,MALE,USA,OTHERS,RIYADH,35_to_45,NON-LEASING,Jeeps_4x4,5+,500_to_750,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.839454,-1.83945434303607
0,0,0.16986301369863,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MAZDA,MECCA,35_to_45,LEASING,Jeeps_4x4,0_to_1,1500_to_2000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.772763,-1.7727629685374
0,0,0.167123287671233,2022,200000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,TOYOTA,RIYADH,55+,NON-LEASING,Jeeps_4x4,0_to_1,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.789024,-1.78902348940918
0,0,0.167123287671233,2022,200000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,OTHERS,RIYADH,21_to_25,NON-LEASING,Sedan,0_to_1,5000+,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.789024,-1.78902348940918
0,0,0.189041095890411,2022,200000,AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,RIYADH,55+,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Aggregator,,0,0,0,NCD_0,0,AGGREGATOR,OTHERS,,-1.665791,-1.66579084898523
0,0,0.0657534246575342,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,OTHERS,SOUTH,25_to_35,LEASING,Sedan,0_to_1,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.721843,-2.72184352323455
0,0,0.0657534246575342,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,OTHERS,NORTH,35_to_45,LEASING,Jeeps_4x4,0_to_1,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.721843,-2.72184352323455
1.01754385964912,640.59856009121,0.142465753424658,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,JEDDAH,25_to_35,LEASING,Sedan,0_to_1,750_to_1000,Broker,OD,571.8,1,692.711942656368,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.948654,-1.94865363500106
0,0,0.180821917808219,2022,200000+,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,LEXUS,RIYADH,25_to_35,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.710243,-1.71024261155607
0,0,0.147945205479452,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,WESTERN,21_to_25,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.910913,-1.91091330701822
0,0,0.180821917808219,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,RIYADH,25_to_35,NON-LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.710243,-1.71024261155607
0,0,0.189041095890411,2022,200000+,AGENCY,PRIVATE CAR,NEW,MALE,EUROPE,MERCEDES,RIYADH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,750_to_1000,Direct,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,OTHERS,-1.665791,-1.66579084898523
0,0,0.172602739726027,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,NISSAN,KHOBAR&DAMMAM,17_to_21,NON-LEASING,Sedan,0_to_1,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.756763,-1.75676262719096
0,0,0.183561643835616,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,WESTERN,45_to_55,LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.695205,-1.69520473419153
